country,year,gdp
AL,2000,1700
AL,2001,1850
AL,2002,1940
AL,2003,2060
AL,2004,2180
AL,2005,2310
AL,2006,2460
AL,2007,2630
AL,2008,2850
AL,2009,2960
AL,2010,3090
AL,2011,3180
AL,2012,3230
AL,2013,3260
AL,2014,3330
AL,2015,3410
AL,2016,3530
AL,2017,3670
AL,2018,3830
AL,2019,3920
AL,2020,3810
AT,2000,31710
AT,2001,31990
AT,2002,32360
AT,2003,32520
AT,2004,33200
AT,2005,33710
AT,2006,34700
AT,2007,35870
AT,2008,36280
AT,2009,34830
AT,2010,35390
AT,2011,36300
AT,2012,36390
AT,2013,36180
AT,2014,36130
AT,2015,36140
AT,2016,36390
AT,2017,36980
AT,2018,37720
AT,2019,38110
AT,2020,35390
AT,2021,36920
BE,2000,29890
BE,2001,30110
BE,2002,30490
BE,2003,30680
BE,2004,31640
BE,2005,32200
BE,2006,32800
BE,2007,33760
BE,2008,33640
BE,2009,32700
BE,2010,33330
BE,2011,33460
BE,2012,33490
BE,2013,33490
BE,2014,33870
BE,2015,34360
BE,2016,34620
BE,2017,35050
BE,2018,35530
BE,2019,36080
BE,2020,33870
BE,2021,35850
BG,2000,2990
BG,2001,3210
BG,2002,3420
BG,2003,3620
BG,2004,3870
BG,2005,4170
BG,2006,4480
BG,2007,4800
BG,2008,5110
BG,2009,4970
BG,2010,5080
BG,2011,5320
BG,2012,5390
BG,2013,5390
BG,2014,5470
BG,2015,5700
BG,2016,5910
BG,2017,6120
BG,2018,6330
BG,2019,6630
BG,2020,6380
BG,2021,6690
CH,2000,52080
CH,2001,52640
CH,2002,52260
CH,2003,51860
CH,2004,52970
CH,2005,54180
CH,2006,56000
CH,2007,57720
CH,2008,58620
CH,2009,56750
CH,2010,58170
CH,2011,58730
CH,2012,58820
CH,2013,59200
CH,2014,59920
CH,2015,60220
CH,2016,60780
CH,2017,61170
CH,2018,62500
CH,2019,62800
CH,2020,60850
CH,2021,62600
CY,2000,20130
CY,2001,20700
CY,2002,21230
CY,2003,21520
CY,2004,22300
CY,2005,23050
CY,2006,23740
CY,2007,24420
CY,2008,24680
CY,2009,23550
CY,2010,23400
CY,2011,22900
CY,2012,21780
CY,2013,20400
CY,2014,20250
CY,2015,21050
CY,2016,22310
CY,2017,23400
CY,2018,24430
CY,2019,25370
CY,2020,23840
CY,2021,24920
CZ,2000,11230
CZ,2001,11620
CZ,2002,11830
CZ,2003,12260
CZ,2004,12840
CZ,2005,13650
CZ,2006,14530
CZ,2007,15250
CZ,2008,15500
CZ,2009,14690
CZ,2010,15020
CZ,2011,15310
CZ,2012,15170
CZ,2013,15160
CZ,2014,15480
CZ,2015,16290
CZ,2016,16670
CZ,2017,17490
CZ,2018,17990
CZ,2019,18460
CZ,2020,17400
CZ,2021,18020
DE,2000,28910
DE,2001,29370
DE,2002,29290
DE,2003,29100
DE,2004,29470
DE,2005,29730
DE,2006,30930
DE,2007,31920
DE,2008,32320
DE,2009,30580
DE,2010,31940
DE,2011,33200
DE,2012,33280
DE,2013,33330
DE,2014,33920
DE,2015,34130
DE,2016,34610
DE,2017,35410
DE,2018,35650
DE,2019,35950
DE,2020,34590
DE,2021,35480
DK,2000,42190
DK,2001,42390
DK,2002,42430
DK,2003,42490
DK,2004,43520
DK,2005,44400
DK,2006,45990
DK,2007,46210
DK,2008,45700
DK,2009,43220
DK,2010,43840
DK,2011,44240
DK,2012,44170
DK,2013,44410
DK,2014,44890
DK,2015,45630
DK,2016,46720
DK,2017,47740
DK,2018,48450
DK,2019,48970
DK,2020,47890
DK,2021,50010
EE,2000,7540
EE,2001,8040
EE,2002,8640
EE,2003,9350
EE,2004,10050
EE,2005,11070
EE,2006,12230
EE,2007,13230
EE,2008,12590
EE,2009,10770
EE,2010,11060
EE,2011,11890
EE,2012,12320
EE,2013,12540
EE,2014,12960
EE,2015,13230
EE,2016,13620
EE,2017,14410
EE,2018,14970
EE,2019,15510
EE,2020,15010
EE,2021,16260
EL,2000,17430
EL,2001,18050
EL,2002,18690
EL,2003,19730
EL,2004,20670
EL,2005,20740
EL,2006,21840
EL,2007,22500
EL,2008,22370
EL,2009,21350
EL,2010,20150
EL,2011,18130
EL,2012,16940
EL,2013,16630
EL,2014,16830
EL,2015,16900
EL,2016,16890
EL,2017,17110
EL,2018,17430
EL,2019,17760
EL,2020,16180
EL,2021,17590
ES,2000,21460
ES,2001,22190
ES,2002,22430
ES,2003,22680
ES,2004,23020
ES,2005,23420
ES,2006,24000
ES,2007,24380
ES,2008,24200
ES,2009,23100
ES,2010,23040
ES,2011,22770
ES,2012,22080
ES,2013,21840
ES,2014,22210
ES,2015,23080
ES,2016,23760
ES,2017,24430
ES,2018,24880
ES,2019,25200
ES,2020,22350
ES,2021,23510
FI,2000,30510
FI,2001,31230
FI,2002,31690
FI,2003,32250
FI,2004,33440
FI,2005,34250
FI,2006,35490
FI,2007,37210
FI,2008,37330
FI,2009,34150
FI,2010,35080
FI,2011,35810
FI,2012,35140
FI,2013,34660
FI,2014,34390
FI,2015,34460
FI,2016,35330
FI,2017,36380
FI,2018,36740
FI,2019,37150
FI,2020,36260
FI,2021,37290
FR,2000,28930
FR,2001,29290
FR,2002,29410
FR,2003,29440
FR,2004,30050
FR,2005,30320
FR,2006,30850
FR,2007,31400
FR,2008,31310
FR,2009,30250
FR,2010,30690
FR,2011,31210
FR,2012,31160
FR,2013,31170
FR,2014,31320
FR,2015,31540
FR,2016,31770
FR,2017,32360
FR,2018,32800
FR,2019,33250
FR,2020,30550
FR,2021,32530
HR,2000,7970
HR,2001,8510
HR,2002,8990
HR,2003,9490
HR,2004,9880
HR,2005,10290
HR,2006,10800
HR,2007,11330
HR,2008,11550
HR,2009,10720
HR,2010,10610
HR,2011,10630
HR,2012,10420
HR,2013,10420
HR,2014,10430
HR,2015,10770
HR,2016,11240
HR,2017,11750
HR,2018,12200
HR,2019,12700
HR,2020,11730
HR,2021,13460
HU,2000,7910
HU,2001,8260
HU,2002,8670
HU,2003,9050
HU,2004,9530
HU,2005,9950
HU,2006,10360
HU,2007,10410
HU,2008,10530
HU,2009,9850
HU,2010,9980
HU,2011,10200
HU,2012,10120
HU,2013,10330
HU,2014,10800
HU,2015,11220
HU,2016,11500
HU,2017,12030
HU,2018,12690
HU,2019,13270
HU,2020,12710
HU,2021,13660
IE,2000,33280
IE,2001,34510
IE,2002,35910
IE,2003,36390
IE,2004,38190
IE,2005,39480
IE,2006,40390
IE,2007,41270
IE,2008,38580
IE,2009,36270
IE,2010,36710
IE,2011,36860
IE,2012,36710
IE,2013,36940
IE,2014,39860
IE,2015,49110
IE,2016,49540
IE,2017,53400
IE,2018,57260
IE,2019,59560
IE,2020,62570
IE,2021,70530
IS,2000,28570
IS,2001,29310
IS,2002,29220
IS,2003,29670
IS,2004,31620
IS,2005,33190
IS,2006,34310
IS,2007,36360
IS,2008,36230
IS,2009,33480
IS,2010,32650
IS,2011,33150
IS,2012,33330
IS,2013,34510
IS,2014,34710
IS,2015,35870
IS,2016,37610
IS,2017,38280
IS,2018,39090
IS,2019,39160
IS,2020,35800
IS,2021,36760
IT,2000,27430
IT,2001,27950
IT,2002,27960
IT,2003,27850
IT,2004,28040
IT,2005,28100
IT,2006,28490
IT,2007,28740
IT,2008,28250
IT,2009,26600
IT,2010,26940
IT,2011,27030
IT,2012,26160
IT,2013,25620
IT,2014,25620
IT,2015,25860
IT,2016,26240
IT,2017,26730
IT,2018,27030
IT,2019,27230
IT,2020,24900
IT,2021,26700
LT,2000,5230
LT,2001,5620
LT,2002,6050
LT,2003,6740
LT,2004,7270
LT,2005,7960
LT,2006,8690
LT,2007,9770
LT,2008,10130
LT,2009,8720
LT,2010,9050
LT,2011,9820
LT,2012,10330
LT,2013,10810
LT,2014,11290
LT,2015,11620
LT,2016,12070
LT,2017,12760
LT,2018,13400
LT,2019,14050
LT,2020,14030
LT,2021,14690
LU,2000,72530
LU,2001,73930
LU,2002,75500
LU,2003,76510
LU,2004,78660
LU,2005,79370
LU,2006,82860
LU,2007,88120
LU,2008,86330
LU,2009,82020
LU,2010,83550
LU,2011,82490
LU,2012,81940
LU,2013,82400
LU,2014,82590
LU,2015,82820
LU,2016,84750
LU,2017,84020
LU,2018,84040
LU,2019,85030
LU,2020,82250
LU,2021,86550
LV,2000,5250
LV,2001,5650
LV,2002,6120
LV,2003,6700
LV,2004,7340
LV,2005,8210
LV,2006,9280
LV,2007,10280
LV,2008,10050
LV,2009,8770
LV,2010,8550
LV,2011,8940
LV,2012,9680
LV,2013,9980
LV,2014,10260
LV,2015,10750
LV,2016,11110
LV,2017,11590
LV,2018,12140
LV,2019,12530
LV,2020,12130
LV,2021,12800
ME,2006,4580
ME,2007,4890
ME,2008,5230
ME,2009,4920
ME,2010,5050
ME,2011,5200
ME,2012,5060
ME,2013,5230
ME,2014,5320
ME,2015,5500
ME,2016,5660
ME,2017,5920
ME,2018,6230
ME,2019,6480
ME,2020,5490
MK,2000,2620
MK,2001,2530
MK,2002,2580
MK,2003,2630
MK,2004,2750
MK,2005,2870
MK,2006,3010
MK,2007,3200
MK,2008,3370
MK,2009,3350
MK,2010,3460
MK,2011,3530
MK,2012,3510
MK,2013,3610
MK,2014,3740
MK,2015,3870
MK,2016,3980
MK,2017,4020
MK,2018,4130
MT,2000,13750
MT,2001,13480
MT,2002,13730
MT,2003,14200
MT,2004,14120
MT,2005,14510
MT,2006,14820
MT,2007,15470
MT,2008,15960
MT,2009,15660
MT,2010,16440
MT,2011,16450
MT,2012,16970
MT,2013,17650
MT,2014,18610
MT,2015,19920
MT,2016,20130
MT,2017,21720
MT,2018,22260
MT,2019,22670
MT,2020,20330
MT,2021,22250
NL,2000,35060
NL,2001,35610
NL,2002,35460
NL,2003,35350
NL,2004,35920
NL,2005,36570
NL,2006,37780
NL,2007,39120
NL,2008,39810
NL,2009,38160
NL,2010,38470
NL,2011,38880
NL,2012,38340
NL,2013,38180
NL,2014,38580
NL,2015,39170
NL,2016,39810
NL,2017,40730
NL,2018,41450
NL,2019,41980
NL,2020,40130
NL,2021,41860
NO,2000,61660
NO,2001,62620
NO,2002,63190
NO,2003,63380
NO,2004,65510
NO,2005,66780
NO,2006,67830
NO,2007,69140
NO,2008,68610
NO,2009,66580
NO,2010,66220
NO,2011,66010
NO,2012,66900
NO,2013,66780
NO,2014,67340
NO,2015,67960
NO,2016,68090
NO,2017,69130
NO,2018,69440
NO,2019,69490
NO,2020,68590
NO,2021,70870
PL,2000,6450
PL,2001,6530
PL,2002,6670
PL,2003,6910
PL,2004,7260
PL,2005,7510
PL,2006,7980
PL,2007,8550
PL,2008,8910
PL,2009,9070
PL,2010,9400
PL,2011,9850
PL,2012,9980
PL,2013,10100
PL,2014,10440
PL,2015,10890
PL,2016,11240
PL,2017,11790
PL,2018,12420
PL,2019,13020
PL,2020,12750
PL,2021,13580
PT,2000,16230
PT,2001,16430
PT,2002,16470
PT,2003,16250
PT,2004,16500
PT,2005,16600
PT,2006,16840
PT,2007,17230
PT,2008,17260
PT,2009,16710
PT,2010,16990
PT,2011,16720
PT,2012,16110
PT,2013,16050
PT,2014,16260
PT,2015,16620
PT,2016,17010
PT,2017,17650
PT,2018,18190
PT,2019,18670
PT,2020,17070
PT,2021,17920
RO,2000,
RO,2001,
RO,2002,4260
RO,2003,4380
RO,2004,4860
RO,2005,5120
RO,2006,5560
RO,2007,6050
RO,2008,6730
RO,2009,6410
RO,2010,6200
RO,2011,6350
RO,2012,6500
RO,2013,6770
RO,2014,7040
RO,2015,7290
RO,2016,7670
RO,2017,8280
RO,2018,8700
RO,2019,9120
RO,2020,8820
RO,2021,9380
RS,2000,2650
RS,2001,2840
RS,2002,3020
RS,2003,3160
RS,2004,3460
RS,2005,3660
RS,2006,3860
RS,2007,4130
RS,2008,4380
RS,2009,4280
RS,2010,4330
RS,2011,4450
RS,2012,4440
RS,2013,4590
RS,2014,4540
RS,2015,4640
RS,2016,4820
RS,2017,4950
RS,2018,5200
RS,2019,5460
RS,2020,5440
RS,2021,5890
SE,2000,33960
SE,2001,34360
SE,2002,35000
SE,2003,35680
SE,2004,37080
SE,2005,37990
SE,2006,39540
SE,2007,40590
SE,2008,40100
SE,2009,38030
SE,2010,39950
SE,2011,40920
SE,2012,40380
SE,2013,40510
SE,2014,41180
SE,2015,42580
SE,2016,42920
SE,2017,43430
SE,2018,43760
SE,2019,44180
SE,2020,42910
SE,2021,44840
SI,2000,13980
SI,2001,14410
SI,2002,14900
SI,2003,15330
SI,2004,15990
SI,2005,16570
SI,2006,17460
SI,2007,18570
SI,2008,19190
SI,2009,17570
SI,2010,17750
SI,2011,17870
SI,2012,17360
SI,2013,17160
SI,2014,17620
SI,2015,17990
SI,2016,18550
SI,2017,19440
SI,2018,20240
SI,2019,20720
SI,2020,19720
SI,2021,21260
SK,2000,7780
SK,2001,8060
SK,2002,8430
SK,2003,8890
SK,2004,9360
SK,2005,9970
SK,2006,10800
SK,2007,11960
SK,2008,12610
SK,2009,11890
SK,2010,12610
SK,2011,13020
SK,2012,13180
SK,2013,13250
SK,2014,13600
SK,2015,14300
SK,2016,14550
SK,2017,14960
SK,2018,15510
SK,2019,15890
SK,2020,15180
SK,2021,15660
TR,2000,6130
TR,2001,5700
TR,2002,5990
TR,2003,6260
TR,2004,6790
TR,2005,7310
TR,2006,7720
TR,2007,8010
TR,2008,7980
TR,2009,7490
TR,2010,8000
TR,2011,8760
TR,2012,9070
TR,2013,9710
TR,2014,10050
TR,2015,10520
TR,2016,10730
TR,2017,11380
TR,2018,11560
TR,2019,11500
TR,2020,11600
UK,2000,27130
UK,2001,27770
UK,2002,28250
UK,2003,29060
UK,2004,29560
UK,2005,30210
UK,2006,30810
UK,2007,31280
UK,2008,30940
UK,2009,29460
UK,2010,29830
UK,2011,29960
UK,2012,30190
UK,2013,30660
UK,2014,31290
UK,2015,31780
UK,2016,32060
UK,2017,32430
UK,2018,32640
UK,2019,32910
